Código Interno,Regional,Escola,1º Simulado: Participação (%),1º Simulado: Nota,1º Teste de Redação: Participação (%),1º Teste de Redação: Nota,2º Teste de Redação: Participação (%),2º Teste de Redação: Nota,2º Simulado: Participação (%),2º Simulado: Nota,3º Teste de Redação: Participação (%),3º Teste de Redação: Nota,4º Teste de Redação: Participação (%),4º Teste de Redação: Nota,Objetivas - 1º Simulado: Participação (%),Objetivas - 1º Simulado: Acertos (%),Objetivas - 2º Simulado: Participação (%),Objetivas - 2º Simulado: Acertos (%)
25248,BAIXADAS LITORANEAS,CE ALMIRANTE FREDERICO VILLAR,"85,12%","202,71","91,00%","198,78","65,66%","380,01","72,02%","305,76","56,32%","325,25","39,29%","266,79","85,12%","17,29%","72,02%","20,45%"
25273,BAIXADAS LITORANEAS,CE ALMIRANTE TAMANDARE,"92,89%","267,63","48,12%","413,56","52,63%","460,42","70,72%","341,27","43,23%","242,11","0,00%",----,----,----,----,----
25321,BAIXADAS LITORANEAS,CE ALMIRANTE TAMANDARE,"59,89%","186,02","94,51%","220,49","58,24%","299,81","55,49%","168,08","56,04%","238,81","56,59%","398,45",----,----,----,----
25314,BAIXADAS LITORANEAS,CE ANTONIO LOPES DE CAMPOS FILHO,"96,55%","368,57","75,86%","398,18","72,41%","452,00","82,76%","395,00","75,86%","363,64","55,17%","455,00","96,55%","24,54%","82,76%","21,50%"
25238,BAIXADAS LITORANEAS,CE ANTONIO PINTO DE MORAES,"89,86%","292,26","72,46%","462,86","73,91%","495,69","82,61%","346,25","72,46%","437,50","75,36%","468,24","89,86%","24,48%","82,61%","19,76%"
25274,BAIXADAS LITORANEAS,CE AURELINO LEAL,"94,40%","217,29","42,40%",----,"21,60%",----,"69,05%","369,66","0,62%",----,"0,00%",----,"94,40%","14,99%","69,05%","32,51%"
25275,BAIXADAS LITORANEAS,CE BALTAZAR BERNARDINO,"74,05%","155,26","0,00%",----,"37,50%","365,91","0,75%",----,"0,00%",----,"0,00%",----,"74,05%","15,34%","0,75%","18,33%"
25315,BAIXADAS LITORANEAS,CE BARAO DO RIO BRANCO,"95,12%","296,41","97,56%","312,50","64,63%","345,60","86,59%",----,"64,63%","387,92","2,44%","400,00","95,12%","22,35%","86,59%","15,92%"
25316,BAIXADAS LITORANEAS,CE BERNARDINO DA COSTA LOPES,"56,79%","131,89","50,62%","348,00","61,73%","334,40","70,37%","143,20","64,20%","303,08","54,32%","470,70","56,79%","19,28%","70,37%","18,21%"
25276,BAIXADAS LITORANEAS,CE BRIGADEIRO CASTRIOTO - BRASIL-ESPANHA,"96,95%","458,67","48,09%","518,06","80,92%","562,29","77,10%","553,04","82,44%","560,37","72,52%","551,16","96,95%","20,04%","77,10%","24,42%"
25317,BAIXADAS LITORANEAS,CE CABO PM RAPHAEL DE OLIVEIRA MONTEIRO,"97,22%","552,57","95,83%","603,48","81,94%","570,85","94,44%","584,12","87,50%","591,11","95,83%","545,51","97,22%","32,43%","94,44%","27,88%"
25263,BAIXADAS LITORANEAS,CE CAIO FRANCISCO DE FIGUEIREDO,"72,99%","242,08","70,42%","322,26","45,34%","374,78","67,52%","294,55","54,98%","330,84","0,64%","180,00","72,99%","22,79%","67,52%","19,64%"
25277,BAIXADAS LITORANEAS,CE CIZINIO SOARES PINTO,"65,43%","206,35","56,79%","335,66","43,39%","394,14","50,35%","241,27","40,21%","384,21","38,10%","371,67","65,43%","23,24%","50,35%","18,95%"
25278,BAIXADAS LITORANEAS,CE CONSELHEIRO JOSINO,"52,08%","199,78","60,42%","366,90","38,57%","351,11","54,24%","277,50","41,43%","434,49","0,00%",----,"52,08%","20,61%","54,24%","20,06%"
25279,BAIXADAS LITORANEAS,CE CONSELHEIRO MACEDO SOARES,"96,17%","164,58","95,22%","190,19","45,13%","404,80","58,70%","239,80","44,77%","343,09","51,26%","356,03","96,17%","15,38%","58,70%","21,73%"
25280,BAIXADAS LITORANEAS,CE DAVID CAPISTRANO,"98,39%","237,24","65,48%","435,67","85,48%","359,69","75,16%","314,49","66,45%","335,61","67,74%","326,50","98,39%","18,87%","75,16%","19,80%"
25318,BAIXADAS LITORANEAS,CE DESEMBARGADOR JOSE AUGUSTO COELHO ROCHA JUNIOR,"96,02%","271,51","98,41%","316,72","61,86%","459,67","59,62%","359,86","53,60%","395,29","0,00%",----,"96,02%","19,04%","59,62%","20,69%"
25264,BAIXADAS LITORANEAS,CE DOMICIO DA GAMA,"94,67%","284,04","97,95%","271,97","63,93%","429,35","99,18%","173,84","100,00%","342,46","99,59%","327,11","94,67%","21,29%","99,18%","12,51%"
25322,BAIXADAS LITORANEAS,CE DOUTOR FELICIANO SODRE,"67,49%","241,13","65,16%","299,95","49,56%","385,15","45,77%","173,38","54,08%","149,62","31,49%","151,03","67,49%","23,41%","45,77%","19,23%"
25261,BAIXADAS LITORANEAS,CE DOUTOR FRANCISCO DE PAULA PARANHOS,"54,58%","233,05","66,61%","376,57","59,61%","405,44","55,48%","174,93","58,35%","390,99","58,89%","361,10","54,58%","21,82%","55,48%","20,19%"
25265,BAIXADAS LITORANEAS,CE DOUTOR JOAO GOMES DE MATTOS SOBRINHO,"81,00%","119,75","0,50%","0,00","72,75%","435,97","71,25%","214,49","66,50%","429,96","66,25%","381,00","81,00%","17,91%","71,25%","19,72%"
25281,BAIXADAS LITORANEAS,CE DOUTOR LUCIANO PESTRE,"72,46%","168,74","44,93%","341,56","56,31%","404,83","56,10%","268,31","0,00%",----,"54,37%","427,86","72,46%","22,45%","56,10%","19,78%"
25282,BAIXADAS LITORANEAS,CE DOUTOR SOUZA SOARES,"100,00%","291,76","94,12%","352,50","100,00%","425,88","100,00%","338,82","100,00%","444,71","82,35%","445,71","100,00%","24,45%","100,00%","18,07%"
25329,BAIXADAS LITORANEAS,CE DUCLER LAUREANO MATOS,"97,08%","169,92","83,21%","212,61","83,94%","230,96","60,58%","247,09","64,96%","350,91","64,96%","371,24","97,08%","19,73%","60,58%","20,58%"
25283,BAIXADAS LITORANEAS,CE DUQUE DE CAXIAS,"38,46%",----,"15,38%","280,00","0,00%",----,Não Participou,Não Encontrado,"0,00%",----,"0,00%",----,"38,46%","19,03%",Não Participou,----
25239,BAIXADAS LITORANEAS,CE EDMUNDO SILVA,"67,43%","239,58","60,67%","450,79","58,32%","417,03","37,54%",----,"44,72%","450,09","39,73%","427,84","67,43%","24,98%","37,54%","19,98%"
